insert_name,beats_per_minute,kV,mAs,gt_mass,vf_mass,agatston_mass
A,0bpm,80.0,10.0,1.1875220230569419,1.3767814363491893,1.0611774439024395
A,0bpm,80.0,15.0,1.1875220230569419,3.970776544957437,1.8479229652971145
A,0bpm,80.0,20.0,1.1875220230569419,4.874458711372558,1.3327779655639598
A,0bpm,80.0,25.0,1.1875220230569419,2.6943598542108074,0.0867833578237076
A,0bpm,80.0,30.0,1.1875220230569419,4.7398353074367305,0.1669278435037868
A,0bpm,80.0,40.0,1.1875220230569419,2.9854864789423785,0.0
A,0bpm,80.0,50.0,1.1875220230569419,3.0327701784481302,0.17608234876847292
A,0bpm,80.0,100.0,1.1875220230569419,3.5031886953456794,0.0
A,0bpm,80.0,150.0,1.1875220230569419,3.1995190971311906,0.0
A,0bpm,80.0,250.0,1.1875220230569419,3.0554727696105273,0.0
A,0bpm,100.0,10.0,1.1875220230569419,2.533208782767667,0.5645704499119893
A,0bpm,100.0,15.0,1.1875220230569419,3.5551350636093755,0.1895630062344828
A,0bpm,100.0,20.0,1.1875220230569419,3.2168211735055054,0.0772310960147974
A,0bpm,100.0,25.0,1.1875220230569419,3.1719485645251044,0.08595586931404017
A,0bpm,100.0,30.0,1.1875220230569419,3.4219112672744103,0.0
A,0bpm,100.0,40.0,1.1875220230569419,3.439597892446463,0.0
A,0bpm,100.0,50.0,1.1875220230569419,3.100099997691175,0.0
A,0bpm,100.0,100.0,1.1875220230569419,3.5482935461134226,0.0
A,0bpm,100.0,150.0,1.1875220230569419,3.613610576283156,0.0
A,0bpm,100.0,250.0,1.1875220230569419,3.433656350929289,0.0
A,0bpm,120.0,10.0,1.1875220230569419,4.625256417842301,0.6363611359004375
A,0bpm,120.0,15.0,1.1875220230569419,-3.472881196541198,4.294891319700749
A,0bpm,120.0,20.0,1.1875220230569419,4.06070628495747,0.0
A,0bpm,120.0,25.0,1.1875220230569419,-4.154626752353287,4.912969541284405
A,0bpm,120.0,30.0,1.1875220230569419,3.4930008397925882,0.0
A,0bpm,120.0,40.0,1.1875220230569419,3.6018276195481995,0.0
A,0bpm,120.0,50.0,1.1875220230569419,3.977192789449681,0.0
A,0bpm,120.0,100.0,1.1875220230569419,3.712883236231474,0.0
A,0bpm,120.0,150.0,1.1875220230569419,3.7415796017997396,0.0
A,0bpm,120.0,250.0,1.1875220230569419,3.7921660198080005,0.0
