insert_name,beats_per_minute,kV,mAs,gt_mass,vf_mass,agatston_mass
B,0bpm,80.0,10.0,7.422012644105887,4.923299665750253,9.579214677399383
B,0bpm,80.0,15.0,7.422012644105887,7.0187247220757785,3.2376728347826096
B,0bpm,80.0,20.0,7.422012644105887,7.349034131609795,2.847301353295742
B,0bpm,80.0,25.0,7.422012644105887,6.704374909799111,1.5191854520619308
B,0bpm,80.0,30.0,7.422012644105887,7.149872778872783,1.3495726995459032
B,0bpm,80.0,40.0,7.422012644105887,7.878090533985912,0.9492113020050613
B,0bpm,80.0,50.0,7.422012644105887,10.587174601786396,0.4441631919416285
B,0bpm,80.0,100.0,7.422012644105887,7.8327601794044,0.0
B,0bpm,80.0,150.0,7.422012644105887,9.532989072108458,0.0
B,0bpm,80.0,250.0,7.422012644105887,8.494645540608055,0.0
B,0bpm,100.0,10.0,7.422012644105887,6.381519746579124,3.4470731001041295
B,0bpm,100.0,15.0,7.422012644105887,9.110076230693219,1.1087234239407273
B,0bpm,100.0,20.0,7.422012644105887,8.722608688914478,0.6203240534618756
B,0bpm,100.0,25.0,7.422012644105887,10.609062063189443,0.3727910006557379
B,0bpm,100.0,30.0,7.422012644105887,8.426048518551264,0.06066727042824766
B,0bpm,100.0,40.0,7.422012644105887,9.136123188630966,0.0
B,0bpm,100.0,50.0,7.422012644105887,10.944648300511151,0.0
B,0bpm,100.0,100.0,7.422012644105887,10.715858018327353,0.0
B,0bpm,100.0,150.0,7.422012644105887,9.994921885109708,0.0
B,0bpm,100.0,250.0,7.422012644105887,11.072277462443665,0.0
B,0bpm,120.0,10.0,7.422012644105887,11.893032134732668,1.4629088626259679
B,0bpm,120.0,15.0,7.422012644105887,-18.746920435088317,11.612634124525515
B,0bpm,120.0,20.0,7.422012644105887,12.012814433187906,0.5074469994896514
B,0bpm,120.0,25.0,7.422012644105887,0.24175356695283745,0.6771539780104714
B,0bpm,120.0,30.0,7.422012644105887,17.70154794373807,21.530462532587947
B,0bpm,120.0,40.0,7.422012644105887,10.277866316863895,0.0
B,0bpm,120.0,50.0,7.422012644105887,11.218325229461264,0.0
B,0bpm,120.0,100.0,7.422012644105887,9.109572660773134,0.0
B,0bpm,120.0,150.0,7.422012644105887,11.440213176195632,0.0
B,0bpm,120.0,250.0,7.422012644105887,12.016579762799173,0.0
