insert_name,beats_per_minute,kV,mA,ctdi,gt_mass,vf_mass,vf_mass_bkg_mean,vf_mass_bkg_std,agatston_mass,agatston_mass_bkg_mean,agatston_mass_bkg_std
F,0bpm,80.0,10.0,0.1,41.233403578366044,11.789087665300071,7.715979965772926,9.356859190215047,63.79146286864863,47.745757139937346,27.686364769690222
F,0bpm,80.0,15.0,0.1,41.233403578366044,59.18212761181475,14.083918117589059,28.095330512072522,102.3518712962576,75.36954809601923,53.4150790882178
F,0bpm,80.0,20.0,0.2,41.233403578366044,28.28562933556959,13.134691259071973,16.627147126306937,54.55817992853222,43.19550391096096,32.53042072675202
F,0bpm,80.0,25.0,0.2,41.233403578366044,37.51882743944686,1.9091269287410018,15.251617495156088,48.03698247798095,28.60860985502099,24.375307846693758
F,0bpm,80.0,30.0,0.2,41.233403578366044,45.81869779090064,0.7484625647747958,13.814274407326211,50.4457669869245,25.118852848770246,18.57225810501512
F,0bpm,80.0,40.0,0.3,41.233403578366044,29.734240374835817,0.15995029765227997,9.08936159966066,27.25338556718533,9.870282095473835,8.16079855737432
F,0bpm,80.0,50.0,0.4,41.233403578366044,40.1195739506461,0.06622055391975341,8.748944973528207,29.010240639960315,7.595917087604743,7.145604986423072
F,0bpm,80.0,100.0,0.8,41.233403578366044,37.36120632897507,1.3441447985284427,10.77748336375007,10.096623939436013,0.21634202498915403,0.18750663485872834
F,0bpm,80.0,150.0,1.2,41.233403578366044,36.669428053103466,3.168545042060998,7.409926798246637,7.2501851895652125,0.02283270260869566,0.03954740099237133
F,0bpm,80.0,250.0,2.0,41.233403578366044,36.07980722570053,3.3274997361102314,8.729459610232498,6.412455868291076,0.0,0.0
F,0bpm,100.0,10.0,0.2,41.233403578366044,37.822514251266455,5.311439233386781,10.411461268239544,80.56774839317416,49.837117146757755,34.57043601008477
F,0bpm,100.0,15.0,0.2,41.233403578366044,52.601597740178526,0.7846202793226862,12.52679742711507,60.602700365569454,27.179727527622173,20.163842765804397
F,0bpm,100.0,20.0,0.3,41.233403578366044,41.92271034402383,0.0033959322777707968,13.670667858167288,35.26665064732395,11.436800886760565,10.044672490829653
F,0bpm,100.0,25.0,0.4,41.233403578366044,42.403708637070054,1.5696085053012518,9.7383232590209,28.035303668051487,6.3155529927870475,5.422928120559271
F,0bpm,100.0,30.0,0.5,41.233403578366044,43.69757064815233,2.5178334605487342,6.300024086507997,26.98305108400461,3.265121073417722,2.857064261163658
F,0bpm,100.0,40.0,0.6,41.233403578366044,38.19188969246765,1.5846540927453816,9.423171955768716,16.24404182037025,1.187769674678888,1.0943654321927851
F,0bpm,100.0,50.0,0.8,41.233403578366044,39.479072273070344,2.8684237431502857,8.033978506639965,16.068701597598192,0.3590968329881748,0.32031590367050966
F,0bpm,100.0,100.0,1.6,41.233403578366044,36.23628280084693,3.4232863123658226,7.506942700360202,10.63026693235488,0.0,0.0
F,0bpm,100.0,150.0,2.4,41.233403578366044,39.6774482975936,3.651671129257053,6.858880366519875,11.844391088605073,0.0,0.0
F,0bpm,100.0,250.0,4.0,41.233403578366044,40.2336880987836,2.5095623078701585,7.877836732894582,12.359772424679171,0.0,0.0
F,0bpm,120.0,10.0,0.3,41.233403578366044,45.50589979921117,-1.8177265870751984,14.045895366063686,58.22620891350592,29.28905628171773,22.485218701205817
F,0bpm,120.0,15.0,0.4,41.233403578366044,43.11351632567573,0.7798615542234802,10.869542318770273,35.18785015131007,10.023678931903776,8.692427861559926
F,0bpm,120.0,20.0,0.5,41.233403578366044,42.578176891144636,3.113048995381718,14.712698722199306,31.562609523408078,5.0473414425496355,4.454389479459613
F,0bpm,120.0,25.0,0.6,41.233403578366044,39.139338347319466,2.145660727343277,9.910602030218488,31.682587014411276,1.6946541553602816,1.5799870260857214
F,0bpm,120.0,30.0,0.8,41.233403578366044,35.70118719578668,0.886503010645337,7.884765119062181,23.484439892296493,0.6310046843256382,0.5516350776735868
F,0bpm,120.0,40.0,1.0,41.233403578366044,42.337006319077716,2.2825654939541313,9.846741441653844,24.710314995103353,0.27129935732195615,0.2947718685942687
F,0bpm,120.0,50.0,1.3,41.233403578366044,41.89139016882265,3.7218716459465213,7.8228177743637595,25.06931887924767,0.17212344355393364,0.1676559370423497
F,0bpm,120.0,100.0,2.5,41.233403578366044,44.27374508334721,2.5139099622979497,9.944951053321242,26.632467821359246,0.0,0.0
F,0bpm,120.0,150.0,3.8,41.233403578366044,44.38227385511326,2.9332618718181416,8.331987802935153,25.587263296895806,0.0,0.0
F,0bpm,120.0,250.0,6.3,41.233403578366044,42.422969984032946,3.9970097961840545,8.514302227551283,28.291357804557002,0.0,0.0
